day,hour_of_day,outdoor_temp_c,setpoint_c,humidity_pct,occupancy,refrigerant,load_kw,dew_point_c,evap_temp_c,frost_limited,cond_temp_c,critical_point_exceeded,cop,compressor_work_kwh
0,22,26.0,22.8,62.8,3,R32,1.3151,15.34,4.01,False,39.79,False,3.873,0.3395
0,23,25.41,21.6,53.5,3,R32,1.4797,11.75,0.46,False,41.44,False,3.339,0.4432
0,0,23.63,24.5,48.0,1,R32,0.15,12.77,22.36,False,25.04,False,8.0,0.0187
0,1,22.35,25.2,73.5,1,R32,0.15,20.12,23.06,False,23.76,False,8.0,0.0187
0,2,21.14,22.2,42.8,4,R32,0.6,8.95,13.63,False,26.76,False,8.0,0.075
0,3,22.19,23.3,45.8,4,R32,0.6,10.96,14.73,False,27.81,False,8.0,0.075
0,4,23.71,23.6,56.5,1,R32,0.1786,14.44,21.05,False,25.38,False,8.0,0.0223
0,5,22.36,22.6,54.6,1,R32,0.15,12.99,20.46,False,23.77,False,8.0,0.0187
1,22,25.48,22.6,47.8,3,R32,1.2285,10.97,5.05,False,38.16,False,4.202,0.2924
1,23,25.75,24.7,59.5,3,R32,0.7332,16.28,14.23,False,32.64,False,7.802,0.094
1,0,23.46,23.6,39.8,2,R32,0.3,9.13,19.31,False,26.28,False,8.0,0.0375
1,1,23.46,23.5,38.3,1,R32,0.15,8.47,21.36,False,24.87,False,8.0,0.0187
1,2,22.75,23.3,53.6,4,R32,0.6,13.35,14.73,False,28.38,False,8.0,0.075
1,3,21.96,23.4,74.7,4,R32,0.6,18.65,14.83,False,27.58,False,8.0,0.075
1,4,21.5,21.7,41.4,3,R32,0.45,8.01,15.27,False,25.72,False,8.0,0.0562
1,5,22.89,20.2,38.6,4,R32,1.3258,5.64,1.26,False,36.8,False,3.861,0.3434
2,22,26.6,24.4,44.9,3,R32,1.044,11.66,9.49,False,36.99,False,5.138,0.2032
2,23,24.59,22.7,69.0,1,R32,0.6603,16.72,13.27,False,30.78,False,8.0,0.0825
2,0,23.63,22.4,69.2,4,R32,0.933,16.48,9.07,False,32.71,False,5.97,0.1563
2,1,22.41,23.7,34.8,3,R32,0.45,7.24,17.27,False,26.63,False,8.0,0.0562
2,2,22.66,22.0,59.3,3,R32,0.6289,13.69,13.02,False,28.56,False,8.0,0.0786
2,3,23.2,22.1,59.0,4,R32,0.8965,13.71,9.29,False,31.86,False,6.257,0.1433
2,4,21.59,24.6,65.8,3,R32,0.45,17.78,18.17,False,25.81,False,8.0,0.0562
2,5,22.96,24.3,82.4,1,R32,0.15,21.11,22.16,False,24.36,False,8.0,0.0187
3,22,25.63,22.2,66.0,4,R32,1.5271,15.54,0.38,False,42.26,False,3.266,0.4675
